ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
15678,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,10/06/2024 18:45,11/06/2024 14:11,11/06/2024 14:11,15M,RO,Vâlcea,Vaideeni,,,,45.167,23.933,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/448163000_799783862287915_6072574411148458218_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=5f2048&_nc_ohc=th1MubxEMWwQ7kNvgG9HECe&_nc_ht=scontent-ber1-1.xx&oh=00_AYCnqtCk8A3fL8B5nC8XEvPBnodkd5ES0Uyrj7nVNpoM1A&oe=666E3E37,"Spotter observation. Meteoplus (Facebook), 11 JUN 2024",A1,Thilo,Thilo,ESSL,15678,N
15677,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,10/06/2024 18:42,11/06/2024 14:11,11/06/2024 14:11,15M,RO,Vâlcea,Marița,,,,45.178,23.877,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/448160145_799782458954722_2704045007815382921_n.jpg?_nc_cat=1&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lE1lawvpOqwQ7kNvgGnYB4Y&_nc_ht=scontent-ber1-1.xx&oh=00_AYDeRm3GVt0UaA6Yz6dMXYUqcCroum_pcVX3OfKb64riWQ&oe=666E1F57,"Spotter observation. Meteoplus (Facebook), 11 JUN 2024",A1,Thilo,Thilo,ESSL,15677,N
15676,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,10/06/2024 18:40,11/06/2024 14:10,11/06/2024 14:10,15M,RO,Vâlcea,Cerna,,,,45.181,23.855,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/448244117_799782425621392_508977580272872394_n.jpg?_nc_cat=111&ccb=1-7&_nc_sid=5f2048&_nc_ohc=_obg7SSZfyIQ7kNvgFxzufx&_nc_ht=scontent-ber1-1.xx&oh=00_AYB9KlRZEsEPmWP5-uzKh7y6wBYpfURdPWvVCS-WUNEFdw&oe=666E24B9,"Spotter observation. Meteoplus (Facebook), 11 JUN 2024",A1,Thilo,Thilo,ESSL,15676,N
15710,QC1,"WWW,EYEWTN,DMGEYEWTN,DMGPHOTO,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,10/06/2024 18:05,11/06/2024 16:47,11/06/2024 16:47,30M,RO,Gorj,Polovragi,,,,45.183,23.8,3KM,,,,HAIL,,3,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 3 cm i.d. was reported. Damage to fruit trees occurred. The time was based on SAT data and Blitzortung lightning detection system.,,,,,,,https://www.gorjexpress.ro/foto-a-dat-cu-piatra-la-polovragi/ https://www.gorjexpress.ro/wp-content/uploads/2024/06/IMG_20240611_114507.jpg,"""""Foto: A dat cu piatră la Polovragi!"""", Gorj Express, 11 JUN 2024.",W1,Igor,Igor,ESSL,15710,N
15644,QC1,"WWW,EYEWTN,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,10/06/2024 17:55,10/06/2024 19:48,10/06/2024 19:48,15M,RO,Buzau,Manasia,,,,45.3,26.755,3KM,,,,HAIL,,3,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://www.facebook.com/vremeaBuzau/posts/pfbid02DFEgrsyY1QXySxHByHPi1UxWUuuycodkLJuef69ob2vc1ZKXXJAFsccsGzuPGpu1l,"Spotter observation. Meteo Buzau Original (Facebook), 10 JUN 2024",A1,Thilo,Thilo,ESSL,15644,N
15712,QC0+,"WWW,EYEWTN,EVTPHOTO",Igor Laskowski (ESWD management),,Skywarn Poland,,1,ESSL,10/06/2024 17:52,11/06/2024 17:05,11/06/2024 17:05,5M,RO,Buzau,Pleșești,,,,45.281,26.702,1KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Large hail up to at least 4 cm i.d. (roughly estimated) was reported. The time was based on SAT data and Blitzortung lightning detection system.,,,,,,,https://www.facebook.com/groups/761712273964301/posts/3177294832406021/?comment_id=3177334825735355,"Eyewitness report via BERCA GRUP (on Facebook), 10 JUN 2024.",,Igor,Igor,ESSL,15712,N
15638,QC1,"WWW,EYEWTN,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,2,ESSL,10/06/2024 17:50,10/06/2024 19:41,11/06/2024 14:13,15M,RO,Buzau,Berca,,,,45.285,26.685,3KM,,,,HAIL,,5,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://www.facebook.com/vremeaBuzau/posts/pfbid02qZMUFL3DcWTMELcrj3Gofy8kFFW6skXrAXgJamxGgKiUS7SJJoxLX9CazHJs815ul https://scontent-ber1-1.xx.fbcdn.net/v/t39.30808-6/448101991_799466415652993_1470868166190505354_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=5f2048&_nc_ohc=gS4RdoUsPJYQ7kNvgHmvLEi&_nc_ht=scontent-ber1-1.xx&oh=00_AYAebkJOgQbCG72asYxE5Gouu7sQrj-a5gNXhpCEsbGjPw&oe=666E31C2,"Spotter observation. Meteo Buzau Original (Facebook), 10 JUN 2024. Meteoplus (Facebook), 10 JUN 2024",,Thilo,Thilo,ESSL,15638,N
15645,QC1,"WWW,EYEWTN,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,10/06/2024 17:49,10/06/2024 19:49,10/06/2024 19:49,15M,RO,Buzau,Sătuc,,,,45.283,26.667,3KM,,,,HAIL,,3,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://www.facebook.com/watch/?v=810760114363925,"Spotter observation. Meteo Buzau Original (Facebook), 10 JUN 2024",A1,Thilo,Thilo,ESSL,15645,N
15643,QC1,"WWW,EYEWTN,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,1,ESSL,10/06/2024 17:48,10/06/2024 19:47,10/06/2024 19:47,15M,RO,Buzau,Joseni,,,,45.308,26.658,3KM,,,,HAIL,,5,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://www.facebook.com/vremeaBuzau/posts/pfbid0mRJzK62kVNyPhgMYdgU8CY6uagvcZNHdKgZFmchJRvNGsb6Ziry7M2KLTHzuH5Qzl,"Spotter observation. Meteo Buzau Original (Facebook), 10 JUN 2024",A1,Thilo,Thilo,ESSL,15643,N
15642,QC1,"WWW,EYEWTN,EVTPHOTO",Thilo Kühne (ESWD management/ESSL Team),,,,2,ESSL,10/06/2024 17:47,10/06/2024 19:45,11/06/2024 17:07,15M,RO,Buzau,Rătești,,,,45.296,26.646,3KM,,,,HAIL,,4,,,,,,IF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,https://www.facebook.com/vremeaBuzau/posts/pfbid02R2M3joUvoNh495gbuSXESNrjgJRmuEq2LZczyFXnt4MLWiiqYVEy3grPMuEiUKmRl https://www.facebook.com/groups/761712273964301/posts/3177294832406021/,"Spotter observation. Meteo Buzau Original (Facebook), 10 JUN 2024  Eyewitness report via BERCA GRUP (on Facebook), 10 JUN 2024.",,Thilo,Igor,ESSL,15642,N
