ID,QC_LEVEL,INFO_SOURCE,CONTACT,EMAIL,ORGANISATION,ORGANISATION_ID,NO_REVISION,PERSON_REVISION,TIME_EVENT,TIME_CREATION,TIME_LAST_REVISION,TIME_ACCURACY,COUNTRY,STATE,PLACE,PLACE_LOCAL_LANGUAGE,DETAILED_LOCATION,NEAREST_CITY,LATITUDE,LONGITUDE,PLACE_ACCURACY,OROGRAPHY,SURFACE_INITIAL_LOCATION,SURFACE_CROSSED,TYPE_EVENT,NO_OBJECTS,MAX_HAIL_DIAMETER,MAX_HAILSTONE_WEIGHT,AVERAGE_HAIL_DIAMETER,THICKNESS_HAIL_LAYER,HAILSTONE,F_SCALE,F_SCALE_METHOD,DI_OF_MAX_IF,DOD_OF_MAX_IF,T_SCALE,RATING_BASIS,WIND_SPEED,TEN_MIN_WIND_SPEED,FUNNEL_SIGHTED,SUCTION_VORTICES,PRECIPITATION_AMOUNT,SNOW_FALL_AMOUNT,PEAK_PRECIP_AMOUNT,PEAK_SNOW_FALL_AMOUNT,PEAK_PRECIP_PERIOD,MAX_6_HOUR_PRECIP,MAX_6_HOUR_SNOW_FALL,MAX_12_HOUR_PRECIP,MAX_12_HOUR_SNOW_FALL,MAX_24_HOUR_PRECIP,MAX_24_HOUR_SNOW_FALL,CONVECTIVE,TOTAL_DURATION,TYPE_PRECIP,SIZE_ACCOMPANYING_HAIL,POSSIBILITIES,PATH_LENGTH,MEAN_PATH_WIDTH,MAX_PATH_WIDTH,MAX_VERTICAL_DEVELOP,DIRECTION_MOVEMENT,SNOW_HAZARDS,MEAN_HEIGHT_SNOW_CORNICES,MAX_HEIGHT_SNOW_CORNICES,ICE_HAZARDS,THICKNESS_ICE_COVER,THICKNESS_RIME_COVER,AVALANCHE_TYPE,AVALANCHE_FLOW_TYPE,SNOW_MASS_TYPE,AVALANCHE_SIZE,AVALANCHE_TRIGGER,ELEVATION_START,ELEVATION_DIFFERENCE,LIGHTNING_DAMAGE_TO,PEAK_CURRENT,POLARITY,EXCEPT_ELEC_PHENOM,PROPERTY_DAMAGE,CROP_FOREST_DAMAGE,TOTAL_DAMAGE,NO_INJURED,NO_KILLED,EVENT_DESCRIPTION,PATH_START_LATITUDE,PATH_START_LONGITUDE,PATH_START_DATETIME,PATH_END_LATITUDE,PATH_END_LONGITUDE,PATH_END_DATETIME,EXT_URL,REFERENCE,IMPACTS,CREATOR_ID,REVISOR_ID,LINK_ORG,LINK_ID,DELETED
"102808","QC1","WWW","Igor Laskowski (ESWD management)","","Skywarn Poland","","1","ESSL","2024-06-30 21:20:00","2024-07-01 10:06:51","2024-07-01 10:06:51","5M","PL","Świętokrzyskie","Błaszków","","","","51.140","20.611","3KM","","","","WIND","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","A downed tree was reported after the passage of a thunderstorm. The time was based on radar data.","","","","","","","https://tkn24.pl/nocne-burze-i-polamane-drzewa-w-powiecie-koneckim/","""""Nocne burze i połamane drzewa w powiecie koneckim"""", TKN24.pl, 01 JUL 2024.","T1W3","Igor","Igor","ESSL","102808","N"
"102809","QC1","WWW","Igor Laskowski (ESWD management)","","Skywarn Poland","","1","ESSL","2024-06-30 21:17:00","2024-07-01 10:07:13","2024-07-01 10:07:13","5M","PL","Świętokrzyskie","Pardołów","","","","51.117","20.617","3KM","","","","WIND","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","A downed tree was reported after the passage of a thunderstorm. The time was based on radar data.","","","","","","","https://tkn24.pl/nocne-burze-i-polamane-drzewa-w-powiecie-koneckim/","""""Nocne burze i połamane drzewa w powiecie koneckim"""", TKN24.pl, 01 JUL 2024.","T1W3","Igor","Igor","ESSL","102809","N"
"102773","QC1","WWW","Igor Laskowski (ESWD management)","","Skywarn Poland","","1","ESSL","2024-06-30 20:06:00","2024-07-01 09:17:33","2024-07-01 09:17:33","5M","PL","Łódzkie","Skierniewice","","","","51.967","20.150","3KM","","","","WIND","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Damaged power line was reported after the passage of a thunderstorm. The time was based on radar data.","","","","","","","https://lodz.tvp.pl/79067529/burze-w-lodzkiem-strazacy-usuwaja-skutki-nawalnicy-mieszkancy-licza-straty","""""Burze w Łódzkiem. Strażacy usuwają skutki nawałnicy, mieszkańcy liczą straty"""", Łódź TVP, 01 JUL 2024.","T1I1","Igor","Igor","ESSL","102773","N"
"102810","QC1","WWW","Igor Laskowski (ESWD management)","","Skywarn Poland","","1","ESSL","2024-06-30 20:06:00","2024-07-01 10:08:36","2024-07-01 10:08:36","5M","PL","Małopolskie","Łączany","","","","51.117","20.617","3KM","","","","WIND","","","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","A broken power line was reported after the passage of a thunderstorm. The time was based on radar data.","","","","","","","https://wadowiceonline.pl/wydarzenia/27538-piorun-uszkodzil-dach-gwaltowna-burza-nad-powiatem-spowodowala-sporo-strat","""""Piorun uszkodził dach. Gwałtowna burza nad powiatem spowodowała sporo strat"""", Wadowice Online, 01 JUL 2024.","T1I1","Igor","Igor","ESSL","102810","N"
"19321","QC1","WXSVC","Tomáš Prouza (AMS)","","","","1","ESSL","2024-06-30 20:00:00","2024-07-01 08:15:54","2024-07-01 08:15:54","5M","CZ","Zlínský kraj","Kychová","","CHMI rain gauge","","49.300","18.126","1KM","","","","PRECIP","","","","","","","","IF","","","","","","","","","60.0","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","torrential rain during thunderstorm | peak precip. time was 18:00 - 18:30 UTC","","","","","","","","Hlásná a předpovědní povodňová služba (HPPS), CHMI, 30 JUN 2024","","VON_AMS","VON_AMS","ESSL","19321","N"
"19324","QC1","WXSVC","Tomáš Prouza (AMS)","","","","1","ESSL","2024-06-30 20:00:00","2024-07-01 08:28:54","2024-07-01 08:28:54","5M","CZ","Zlínský kraj","Valašská Bystřice","","CHMI rain gauge","","49.415","18.105","1KM","","","","PRECIP","","","","","","","","IF","","","","","","","","","53.4","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","torrential rain during thunderstorm ","","","","","","","","Hlásná a předpovědní povodňová služba (HPPS), CHMI, 30 JUN 2024","","VON_AMS","VON_AMS","ESSL","19324","N"
"19325","QC1","WXSVC","Tomáš Prouza (AMS)","","","","1","ESSL","2024-06-30 20:00:00","2024-07-01 08:31:57","2024-07-01 08:31:57","5M","CZ","Zlínský kraj","Rožnov pod Radhoštěm","","CHMI rain gauge","","49.459","18.143","1KM","","","","PRECIP","","","","","","","","IF","","","","","","","","","77.4","","","","","","","","","","","","2.5","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","torrential rain during thunderstorm | peak precip. time was 19:30 - 20:00 UTC","","","","","","","","Hlásná a předpovědní povodňová služba (HPPS), CHMI, 30 JUN 2024","","VON_AMS","VON_AMS","ESSL","19325","N"
"102751","QC1","WWW,EVTPHOTO,EYEWTN","Igor Laskowski (ESWD management)","","Skywarn Poland","","1","ESSL","2024-06-30 19:53:00","2024-07-01 07:56:59","2024-07-01 07:56:59","5M","PL","Łódzkie","Celigów","","","","51.817","20.100","3KM","","","","HAIL","","2.5","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Large hail up to at least 2.5 cm i.d. was reported. The time was based on radar data.","","","","","","","https://www.facebook.com/photo.php?fbid=2649054228609614&set=p.2649054228609614&type=3","Eyewitness report via Łowcy Burz Łódzkie (on Facebook), 30 JUN 2024.","","Igor","Igor","ESSL","102751","N"
"102748","QC1","WWW,EVTPHOTO,EYEWTN","Igor Laskowski (ESWD management)","","Skywarn Poland","","1","ESSL","2024-06-30 19:52:00","2024-07-01 07:49:23","2024-07-01 07:49:23","5M","PL","Łódzkie","Prusy","","","","51.814","20.074","1KM","","","","HAIL","","3.5","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Large hail up to at least 3.5 cm i.d. was reported. The time was based on radar data.","","","","","","","https://www.facebook.com/photo.php?fbid=8446066288754809&set=p.8446066288754809&type=3","Eyewitness report via Łowcy Burz Łódzkie (on Facebook), 30 JUN 2024.","","Igor","Igor","ESSL","102748","N"
"102747","QC1","WWW,EVTPHOTO,EYEWTN","Igor Laskowski (ESWD management)","","Skywarn Poland","","2","ESSL","2024-06-30 19:50:00","2024-07-01 07:48:04","2024-07-01 07:49:53","5M","PL","Łódzkie","Głuchów","","","","51.786","20.052","5KM","","","","HAIL","","3","","","","","","IF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","Large hail up to at least 3 cm i.d. was reported. The time was based on radar data.","","","","","","","https://www.facebook.com/photo.php?fbid=3445765959049354&set=p.3445765959049354&type=3","Eyewitness report via Łowcy Burz Łódzkie (on Facebook), 30 JUN 2024.","","Igor","Igor","ESSL","102747","N"
